obf,count,score,alpha,beta
------------X-----OOXX---XXOXX----XOO-------O------------------- X;,0,-18,0,64
------------------XOOX----XOXX----OOOX----XO-------------------- X;,4,-10,0,64
----------XO------XOOX----XOXX----XOO-------O------------------- X;,3,-10,0,64
------------------XOOX----XXOX----XXOX-----OO------------------- X;,2,-10,0,64
-------------X----XOXX----XXOX----XOOO------O------------------- X;,1,-10,0,64
-----------X------XOXX----XOOX----XOOO------O------------------- X;,4,-12,0,64
------------------XOOX----XOXX----XOX-----OOO------------------- X;,2,-12,0,64
------------------XOOX----XOOX----XXOO----X-O------------------- X;,2,-14,0,64
-----------O------XOX-----OOO-----OXXXX---XX-------------------- X;,0,-16,0,64
------------------XXO-X---OOOX----OOX-----XXX------------------- X;,0,-20,0,64
-------------X-----OXX----OOOX----XOOO-----XO------------------- X;,1,-10,0,64
----------X-------XXO-----XXOO----XXOX-----OO------------------- X;,0,-10,0,64
-------------X----XXXX---OOOXX----XOO-------O------------------- X;,0,-12,0,64
-------------X-----OXX----OOOX----XXOO----X-O------------------- X;,0,-14,0,64
--------------------XXX--XXXXX-----OOO----OOO------------------- X;,0,-14,0,64
-------------X----OOXX---XXOXX----XOO-------O------------------- X;,0,-14,0,64
----------X--X----XXX-----XXOO-----OOO-----O-O------------------ X;,0,-14,0,64
------------------XOO-----XXOXX---XXOX-----OO------------------- X;,0,-10,0,64
------------------XXXX---XXOXX----OOO----O--O------------------- X;,1,-12,0,64
----------X--------XOX---XXOXX---OOOO-------O------------------- X;,0,-14,0,64
-------------------OOX---XXOXX----XOX-----OOO------------------- X;,0,-14,0,64
-----------X------OX-------OOX----XXOXX---XOO------------------- X;,0,-14,0,64
-----------X-------OXX---XXOOX----XOOO------O------------------- X;,0,-14,0,64
-------------------OOX---XXOOX----XXOO----X-O------------------- X;,0,-16,0,64
------------X------XXX---XXOXX----OOO----O--O------------------- X;,0,-18,0,64
----------X--------X------OOXX----XOOXX---XOO------------------- X;,0,-20,0,64
-----------X-------OXX----OOXX----XXOX------OO------------------ X;,0,-10,0,64
------------X-----XXXX----XXOX-----OOO-----O--O----------------- X;,0,-10,0,64
------------XX----XXX-----XXOO-----OOO-----O-O------------------ X;,0,-12,0,64
-----------X-------OXX----OOOX----XXOO----X-O------------------- X;,0,-14,0,64
-----------X-------OXX---XXXOX----XOOO------O------------------- X;,0,-14,0,64
-------------------OXX---XXOOX-----OOOX----XO------------------- X;,0,-16,0,64
------------X-----XXX-----XXXO-----XXO-----OOO------------------ X;,0,-16,0,64
-----------------X-OX----OOOO-----OXXXX---XX-------------------- X;,4,-16,0,64
-------------------OXXX--XXOOX-----OXO-----XO------------------- X;,1,-16,0,64
------------------XXX----OOOO-----XXXXX---XX-------------------- X;,1,-16,0,64
-----------X-------XOX-----XOX----XXOO----XOO------------------- X;,1,-18,0,64
-----------X-------X------OOOX----XOXXX---XOO------------------- X;,0,-18,0,64
----------X--------XX-----OOX-----OOXXX---XXO------------------- X;,0,-24,0,64
-------------------O-----OXXXX---OXXXO---OOO-------------------- X;,221,2,-64,0
-----------XO-----XXX-----OXXO-----XX------OOO------------------ X;,15,4,-64,0
--------------------OX-O--OXXXO---XXXOO-----O------------------- X;,9,6,-64,0
------------------XO----OOOOOO---OXXXX-----O-------------------- X;,6,6,-64,0
-----------OX------XXX----OXXO-----XO------OO-----O------------- X;,2,8,-64,0
------------------XO-----XXXXO---OOOOOO----O-------------------- X;,1,12,-64,0
--------------------OX----XOX-O---OOOOO-----OOO----------------- X;,0,6,-64,0
-------------------X-------XX-----OXXO----O-OO----OOOO---------- X;,1,8,-64,0
-------------------X-------XX----OOXXO----O-OO-----OOO---------- X;,0,8,-64,0
------------------O-OX----XOX-O----XOOO-----OOO----------------- X;,0,10,-64,0
-------------------OOX----XXO-O----XXOO-----OOO----------------- X;,0,12,-64,0
------------------XO--O--O-XXO---OOXO----OOO-------------------- X;,0,14,-64,0
------------------OXX------XX-----OXOO----OO------OOO----------- X;,13,10,-64,0
------------------O-OX----XOXXX---OXO-O--O--O------------------- X;,8,10,-64,0
------------------XO-O---XXXXX---O-OOOO----O-------------------- X;,12,12,-64,0
